brak KNeighborsClassifier 1 euclidean 0,816 0,816 0,754
brak KNeighborsClassifier 5 euclidean 0,867 0,867 0,745
brak KNeighborsClassifier 7 euclidean 0,878 0,878 0,736
brak KNeighborsClassifier 9 euclidean 0,888 0,888 0,764
brak NearestCentroid N/A euclidean 0,867 0,867 0,877
brak KNeighborsClassifier 1 manhattan 0,847 0,847 0,809
brak KNeighborsClassifier 5 manhattan 0,929 0,929 0,846
brak KNeighborsClassifier 7 manhattan 0,939 0,939 0,850
brak KNeighborsClassifier 9 manhattan 0,939 0,939 0,876
brak NearestCentroid N/A manhattan 0,796 0,796 0,830
brak KNeighborsClassifier 1 euclidean 0,827 0,827 0,833
brak KNeighborsClassifier 5 euclidean 0,847 0,847 0,806
brak KNeighborsClassifier 7 euclidean 0,878 0,878 0,826
brak KNeighborsClassifier 9 euclidean 0,857 0,857 0,817
brak NearestCentroid N/A euclidean 0,796 0,796 0,820
brak KNeighborsClassifier 1 manhattan 0,888 0,888 0,865
brak KNeighborsClassifier 5 manhattan 0,898 0,898 0,842
brak KNeighborsClassifier 7 manhattan 0,878 0,878 0,816
brak KNeighborsClassifier 9 manhattan 0,898 0,898 0,825
brak NearestCentroid N/A manhattan 0,755 0,755 0,807
brak KNeighborsClassifier 1 euclidean 0,809 0,809 0,870
brak KNeighborsClassifier 5 euclidean 0,904 0,904 0,872
brak KNeighborsClassifier 7 euclidean 0,894 0,894 0,844
brak KNeighborsClassifier 9 euclidean 0,883 0,883 0,839
brak NearestCentroid N/A euclidean 0,819 0,819 0,919
brak KNeighborsClassifier 1 manhattan 0,851 0,851 0,847
brak KNeighborsClassifier 5 manhattan 0,915 0,915 0,846
brak KNeighborsClassifier 7 manhattan 0,936 0,936 0,892
brak KNeighborsClassifier 9 manhattan 0,936 0,936 0,855
brak NearestCentroid N/A manhattan 0,883 0,883 0,936
brak KNeighborsClassifier 1 euclidean 0,763 0,763 0,738
brak KNeighborsClassifier 5 euclidean 0,871 0,871 0,798
